Load (lbf),Resistance (Ohms)
5.8,2920.92757
5.802,2918.54331
5.806,2848.83187
5.811,2878.11853
5.813,2950.74673
5.817,2839.52705
5.825,2921.84908
5.832,2917.62052
5.841,2798.6635
5.846,2964.25175
5.854,2913.29758
5.858,2896.76431
5.864,2887.17205
5.87,2798.43461
5.875,2808.87686
5.884,2825.22977
5.889,2822.89835
5.897,2863.26672
5.902,2947.12316
5.906,2969.9679
5.911,2787.28394
5.917,2814.70647
5.925,2787.12463
5.931,2955.44887
5.937,2940.40701
5.944,2805.60505
5.951,2847.80475
5.958,2857.39829
5.962,2736.92603
5.967,2938.38193
5.97,2828.68738
5.972,2733.52445
5.975,2839.954
5.983,2747.68389
5.991,2681.20948
5.997,2740.19209
6.004,2805.2993
6.007,2759.61004
6.011,2858.71261
6.014,2688.48622
6.018,2995.02539
6.025,2786.12044
6.033,2712.37473
6.041,2821.5095
6.048,2697.48318
6.055,2706.17586
6.062,2856.51475
6.068,2795.692
6.072,2875.33639
6.076,2700.20119
6.079,2632.59419
6.082,2894.49341
6.086,2657.41803
6.093,2651.32419
6.1,2709.75322
6.108,2627.60782
6.112,2721.78707
6.121,2753.09758
6.131,2801.78605
6.141,2776.1304
6.145,2678.82213
6.153,2701.42921
6.156,2730.59074
6.16,2639.51556
6.164,2628.98759
6.166,2769.03894
6.17,2774.71509
6.177,2685.30183
6.179,2572.56271
6.181,2710.70976
6.187,2621.10427
6.196,2829.97746
6.206,2638.30444
6.215,2677.08669
6.223,2659.16584
6.228,2708.78119
6.236,2620.31576
6.242,2756.1123
6.25,2591.23768
6.256,2676.6658
6.263,2890.39314
6.267,2553.50771
6.27,2590.6447
6.274,2681.01102
6.279,2616.22078
6.281,2637.01658
6.285,2482.74567
6.296,2729.85254
6.306,2713.75974
6.313,2686.20245
6.323,2629.1482
6.327,2669.90162
6.331,2582.97961
6.336,2673.91445
6.338,2698.25394
6.343,2763.18487
6.349,2712.90175
6.352,2595.11295
6.356,2609.26206
6.36,2756.33726
6.365,2680.89834
6.369,2598.73901
6.377,2496.2385
6.381,2505.79732
6.386,2506.63038
6.391,2619.90111
6.396,2655.756
6.404,2759.34762
6.408,2599.57509
6.411,2568.84765
6.418,2624.97028
6.422,2717.58487
6.428,2684.07434
6.433,2546.95241
6.437,2705.41752
6.444,2747.5928
6.45,2687.07934
6.457,2606.53182
6.466,2640.38516
6.471,2669.7882
6.477,2635.80877
6.481,2630.4457
6.488,2636.61434
6.493,2749.45438
6.501,2524.11776
6.508,2624.95652
6.515,2594.75298
6.521,2611.6541
6.525,2693.70365
6.529,2493.46283
6.535,2527.93875
6.539,2517.61163
6.545,2576.78825
6.55,2595.95625
6.557,2667.07823
6.564,2524.48518
6.569,2522.37281
6.578,2448.95795
6.581,2651.00445
6.589,2638.8935
6.598,2381.04419
6.605,2509.02867
6.608,2614.93838
6.61,2510.57598
6.615,2610.01175
6.621,2459.57673
6.626,2479.35753
6.63,2486.23246
6.633,2500.82886
6.636,2483.63265
6.64,2573.9074
6.648,2592.7071
6.655,2402.47318
6.661,2449.51106
6.665,2672.56587
6.673,2496.81103
6.68,2491.13471
6.691,2533.13499
6.697,2643.65733
6.707,2542.5147
6.711,2555.46157
6.716,2576.43424
