,Load (lbf),Resistance (Ohms)
275,1.181,14334.2441
276,1.185,14201.4875
277,1.19,14075.4789
278,1.193,14164.435
279,1.196,13910.8227
280,1.202,13738.2339
281,1.206,13768.9761
282,1.21,13836.0854
283,1.219,13587.9249
284,1.226,13679.1199
285,1.232,13479.5844
286,1.238,13684.5852
287,1.241,13440.7059
288,1.247,13539.5083
289,1.255,13439.9538
290,1.262,13329.2478
291,1.271,13151.903
292,1.274,13238.2912
293,1.278,13211.9464
294,1.284,13014.8049
295,1.285,12879.0388
296,1.287,12814.5956
297,1.29,12813.3111
298,1.295,12741.8807
299,1.3,12633.261
300,1.307,12727.0901
301,1.317,12528.294
302,1.323,12594.8908
303,1.332,12508.3501
304,1.34,12270.7545
305,1.346,12228.948
306,1.351,12293.5684
307,1.354,12363.0526
308,1.358,12106.8571
309,1.36,12044.8343
310,1.366,12104.0272
311,1.373,11905.4217
312,1.378,11967.3337
313,1.386,11862.9353
314,1.391,11686.4255
315,1.396,11664.5959
316,1.403,11794.7497
317,1.407,11524.798
318,1.415,11534.6237
319,1.422,11407.8491
320,1.429,11400.4014
321,1.436,11315.7361
322,1.441,11374.9754
323,1.444,11275.7206
324,1.449,11028.8225
325,1.451,11020.3424
326,1.454,10900.7648
327,1.46,11029.6644
328,1.466,10908.6372
329,1.472,10699.8337
330,1.484,10630.5611
331,1.491,10586.5238
332,1.501,10518.1456
333,1.507,10346.6176
334,1.514,10492.4172
335,1.517,10484.3129
336,1.521,10322.778
337,1.526,10352.7182
338,1.529,10276.1735
339,1.531,10201.5725
340,1.536,10301.0931
341,1.542,10207.6778
342,1.545,10038.212
343,1.55,10142.1564
344,1.558,10004.4953
345,1.564,10005.7309
346,1.573,9733.422
347,1.579,9722.77309
348,1.589,9711.95067
349,1.592,9590.86799
350,1.595,9875.87467
351,1.599,9499.22893
352,1.603,9725.4883
353,1.606,9736.13745
354,1.61,9575.68727
355,1.619,9507.23562
356,1.623,9569.48804
357,1.628,9381.93625
358,1.634,9447.49693
359,1.637,9373.37993
360,1.643,9208.69796
361,1.65,9178.0381
362,1.654,9161.21883
363,1.663,9242.97043
364,1.667,9078.50074
365,1.671,9058.00723
366,1.681,9164.99766
367,1.691,8977.76405
368,1.702,8949.99093
369,1.715,8877.85702
370,1.718,8862.89718
371,1.722,8800.27391
372,1.729,8715.95449
373,1.73,8767.36405
374,1.733,8759.01852
375,1.736,8701.93884
376,1.742,8572.38378
377,1.745,8704.87543
378,1.753,8574.24888
379,1.759,8543.55752
380,1.762,8557.81848
381,1.766,8506.05822
382,1.775,8623.01275
383,1.782,8519.56275
384,1.79,8507.51779
385,1.794,8439.36709
386,1.799,8396.14952
387,1.805,8576.74707
388,1.809,8492.82443
389,1.816,8232.53738
390,1.823,8259.62757
391,1.826,8357.64334
392,1.831,8297.8688
393,1.836,8323.32205
394,1.84,8284.12869
395,1.846,8261.69615
396,1.852,8124.82832
397,1.855,8065.70967
398,1.862,8181.65715
399,1.869,7916.00269
400,1.874,8086.20299
401,1.878,8007.4393
402,1.883,8003.55775
403,1.886,8015.94127
404,1.896,7947.23089
405,1.901,8001.11504
406,1.909,7945.95912
407,1.915,7883.22634
408,1.919,7943.0836
409,1.928,7849.8242
410,1.931,7936.64954
411,1.933,8011.49585
412,1.937,7984.5987
413,1.943,7957.87458
414,1.947,7933.03659
415,1.952,7808.03936
416,1.96,7733.53075
417,1.964,7763.90087
418,1.97,7686.24758
419,1.98,7805.31189
420,1.989,7779.52406
421,1.998,7663.15277
422,2.004,7643.81685
423,2.01,7546.10758
424,2.014,7704.63211
425,2.021,7443.84739
426,2.026,7469.89517
427,2.03,7459.76464
428,2.037,7442.48734
429,2.043,7450.15703
430,2.047,7459.93565
431,2.051,7347.99644
432,2.056,7366.56612
433,2.062,7373.55095
434,2.069,7438.37528
435,2.071,7353.71512
436,2.075,7444.12258
437,2.079,7330.73203
438,2.085,7325.67268
439,2.087,7304.7637
440,2.093,7310.95633
441,2.103,7149.53151
