Load (lbf),Resistance (Ohms)
0.0042,1396406.71
0.0042,1394389.33
0.0042,1391648.54
0.0041,1393049.28
0.0042,1392824.75
0.0041,1395146.64
0.0042,1391560.78
0.0041,1391308.9
0.0041,1390325.48
0.0042,1389780.53
0.0043,1389595.56
0.0041,1392100.79
0.0041,1394248.88
0.0042,1393371.63
0.0043,1393469.48
0.0042,1394934.0
0.0042,1392301.17
0.0042,1394433.7
0.0042,1393288.02
0.0041,1392188.86
0.0042,1394776.11
0.0041,1394696.14
0.0041,1394235.03
0.0042,1393237.26
0.0041,1391146.52
0.0042,1394076.74
0.0041,1386103.8
0.0041,1393467.52
0.0042,1388385.71
0.0042,1391283.53
0.0041,1393120.68
0.004,1391892.48
0.0041,1389891.01
0.0042,1393280.7
0.0041,1391281.76
0.0041,1386904.99
0.0041,1391328.41
0.0041,1392261.66
0.004,1394577.59
0.004,1390579.39
0.004,1388103.12
0.0041,1386543.53
0.004,1384036.95
0.0042,1387981.04
0.0041,1386680.39
0.0042,1379045.18
0.0041,1377867.53
0.0041,1385864.36
0.004,1380228.27
0.0042,1381950.92
0.0041,1375804.65
0.004,1377362.87
0.0041,1375259.83
0.0042,1368396.01
0.0042,1356991.58
0.0041,1362275.7
0.004,1349206.03
0.0041,1350073.65
0.0042,1349186.85
0.0042,1347780.69
0.0042,1348961.19
0.0042,1346043.69
0.0041,1350805.78
0.0043,1356453.33
0.004,1361739.28
0.0042,1355765.19
0.0041,1354279.33
0.0041,1353335.59
0.0041,1349655.0
0.0042,1347705.63
0.0042,1353771.46
0.0042,1353196.44
0.0042,1350980.4
0.0041,1350072.99
0.0041,1349441.84
0.0041,1355698.37
0.0042,1353117.52
0.0041,1357126.43
0.0041,1358868.81
0.0041,1362463.56
0.0041,1363174.37
0.0041,1356640.06
0.0041,1363940.29
0.004,1359638.17
0.0041,1371660.03
0.0041,1374377.22
0.0041,1369154.26
0.0042,1369466.22
0.0041,1363999.42
0.0041,1362164.92
0.0041,1352911.39
0.0041,1360689.43
0.0041,1368218.91
0.0042,1352296.1
0.004,1345061.57
0.0041,1344815.36
0.004,1351541.0
0.004,1348846.17
0.0041,1344639.87
0.004,1347977.77
0.0041,1349488.54
0.004,1357404.53
0.004,1357276.6
0.0039,1355078.79
0.0038,1349918.22
0.004,1348668.31
0.0039,1348654.35
0.0038,1342318.48
0.0039,1351321.25
0.0038,1352981.21
0.0037,1349646.38
0.0038,1349620.31
0.0037,1351233.18
0.0037,1352587.05
0.0036,1357441.21
0.0036,1353517.13
0.0036,1356119.14
0.0036,1357342.32
0.0036,1358941.17
0.0036,1350673.56
0.0034,1341600.51
0.0031,1321767.36
0.0028,1465074.56
0.0024,1486955.86
0.002,1544723.09
0.0018,1915192.64
0.0015,1237474.43
0.0011,1459329.61
0.0008,1198791.75
0.0004,1504091.39
0.0002,1280450.57
0.0002,1628688.21
0.0004,1558966.91
0.0017,1507287.91
0.0038,1693276.35
0.006,1827096.32
0.0081,2368357.77
0.0102,2368142.51
0.0122,2319037.23
0.0142,2528277.88
0.0162,2762597.59
0.0185,3197031.57
0.0208,3358823.66
0.0233,3853097.05
0.0263,1717715.32
