Force (lbf),Resistance (Ohms)
9.01,2060.0
9.007,2000.0
9.01,1910.0
9.009,1970.0
9.008,1970.0
9.009,1930.0
9.01,2100.0
9.007,1880.0
9.004,2060.0
9.006,1960.0
9.009,1900.0
9.007,1860.0
9.006,1880.0
9.006,2110.0
9.01,1890.0
9.008,1940.0
9.001,1830.0
9.005,1910.0
9.002,1810.0
9.005,2060.0
9.004,2050.0
9.002,1970.0
9.001,2070.0
9.012,1980.0
9.01,1930.0
9.008,2040.0
9.019,1850.0
9.009,1950.0
9.002,1990.0
9.012,2070.0
9.007,2050.0
9.003,2120.0
9.002,2050.0
9.002,2100.0
9.004,2020.0
9.012,2130.0
9.013,2000.0
9.003,2160.0
9.0,2000.0
9.013,2040.0
9.002,2120.0
9.001,2080.0
9.002,1960.0
9.001,1950.0
9.005,2010.0
9.002,1960.0
9.002,1820.0
9.003,1930.0
9.008,1940.0
9.005,1980.0
