Force (lbf),Resistance (Ohms)
8.77,2180.0
8.757,2090.0
8.76,1960.0
8.757,2180.0
8.754,2060.0
8.762,1980.0
8.755,2080.0
8.762,2090.0
8.758,2090.0
8.761,2070.0
8.759,2160.0
8.764,2140.0
8.76,1970.0
8.766,2300.0
8.759,2060.0
8.762,2060.0
8.765,2150.0
8.759,2000.0
8.76,2100.0
8.759,1970.0
8.759,2150.0
8.759,2100.0
8.758,1890.0
8.757,2070.0
8.763,1940.0
8.765,2160.0
8.76,1960.0
8.763,2000.0
8.763,2160.0
8.765,1960.0
8.758,2010.0
8.764,1930.0
8.765,2160.0
8.768,2230.0
8.766,2100.0
8.765,2060.0
8.77,2060.0
8.762,2110.0
8.768,2040.0
8.752,2000.0
8.768,2020.0
8.767,2020.0
8.77,2070.0
8.762,2000.0
8.767,2050.0
8.759,2130.0
8.754,2090.0
8.755,2120.0
8.752,1950.0
8.76,2040.0
