Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
8.02443,3546.87532,3037.41603,16.77
8.03102,3561.5994,3033.78813,17.4
8.03084,3482.17946,3033.88713,14.78
8.02225,3429.32706,3038.61776,12.86
8.0312,3482.86426,3033.68914,14.81
8.02405,3389.35937,3037.62544,11.58
8.03631,3318.72174,3030.8812,9.5
8.03873,3276.36284,3029.55293,8.15
8.03513,3342.27099,3031.52922,10.25
8.03464,3466.68788,3031.79838,14.34
8.03237,3388.57023,3033.04584,11.72
8.03844,3346.13044,3029.71205,10.44
8.04138,3350.61751,3028.09956,10.65
8.05172,3296.85441,3022.43988,9.08
8.03597,3355.68103,3031.06789,10.71
8.04673,3419.92728,3025.16897,13.05
8.04781,3379.54792,3024.57795,11.74
8.02121,3444.26139,3039.19135,13.33
8.03758,3428.23172,3030.18401,13.14
8.04802,3334.51193,3024.46305,10.25
8.02533,3246.63906,3036.92013,6.91
8.02192,3217.86719,3038.79974,5.89
8.0266,3248.78821,3036.2206,7.0
8.03311,3224.46142,3032.63908,6.33
8.02452,3237.19717,3037.36643,6.58
8.02503,3218.82163,3037.08541,5.98
8.0371,3263.42372,3030.44748,7.69
8.04439,3296.95994,3026.45017,8.94
8.05041,3187.3146,3023.15593,5.43
8.0276,3153.5751,3035.66998,3.88
8.03836,3157.78765,3029.75595,4.23
8.03189,3264.88984,3033.30973,7.63
