Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
11.0281,2215.99523,1911.92585,15.9
11.0317,2028.55893,1911.01758,6.15
11.036,2222.77104,1909.93365,16.38
11.0391,2204.23876,1909.15286,15.46
11.037,2282.68517,1909.68173,19.53
11.0365,2232.49037,1909.80768,16.9
11.0347,2026.63179,1910.26124,6.09
11.0344,2038.04223,1910.33685,6.68
11.0349,2185.76082,1910.21084,14.43
11.0406,2037.7028,1908.77525,6.75
11.0368,2287.09277,1909.73211,19.76
11.0337,2095.64902,1910.5133,9.69
11.031,2176.29624,1911.19413,13.87
11.0343,2093.06114,1910.36206,9.56
11.0387,2073.20223,1909.25358,8.59
11.039,1922.08932,1909.17804,0.68
11.0357,2092.07614,1910.00924,9.53
11.0361,2001.09913,1909.90846,4.77
11.0323,2030.62982,1910.86627,6.27
11.0333,2136.84951,1910.61414,11.84
11.0303,2192.68751,1911.37071,14.72
11.0385,2183.97516,1909.30394,14.39
11.0342,2097.18694,1910.38726,9.78
11.0359,2173.24705,1909.95885,13.79
11.0496,2090.07963,1906.51224,9.63
11.0367,2063.30143,1909.7573,8.04
11.0414,2269.67531,1908.57391,18.92
11.0386,2114.40567,1909.27876,10.74
11.036,2045.92851,1909.93365,7.12
11.039,2181.09323,1909.17804,14.24
11.0398,2168.25613,1908.97663,13.58
11.0344,2094.99043,1910.33685,9.67
