Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
8.5442,3134.43407,2772.18281,13.07
8.53263,3233.6195,2777.65705,16.42
8.54787,3064.83527,2770.45019,10.63
8.53161,3106.10287,2778.14052,11.81
8.52718,3030.52265,2780.24198,9.0
8.52523,3115.54211,2781.16785,12.02
8.52465,3163.88159,2781.44334,13.75
8.52585,3028.88384,2780.87342,8.92
8.52866,3172.28977,2779.53961,14.13
8.52279,3075.48451,2782.32711,10.54
8.5192,3124.20839,2784.03422,12.22
8.52513,3026.03171,2781.21535,8.8
8.52338,3093.71702,2782.04672,11.2
8.52209,3224.17941,2782.65983,15.87
8.52632,2938.13794,2780.65025,5.66
8.52958,2958.75465,2779.10316,6.46
8.52473,3002.61588,2781.40534,7.95
8.52653,3024.62152,2780.55055,8.78
8.5228,3038.33041,2782.32236,9.2
8.53227,3061.97897,2777.82767,10.23
8.51825,3170.52678,2784.48626,13.86
8.52974,2974.68224,2779.02727,7.04
8.51977,3180.88888,2783.76306,14.27
8.52476,2977.27428,2781.39109,7.04
8.52266,2977.56654,2782.3889,7.01
8.51922,3082.30334,2784.02471,10.71
8.51924,3084.0151,2784.01519,10.78
8.51834,3035.75193,2784.44343,9.03
8.51903,2973.48221,2784.1151,6.8
8.5244,3048.30913,2781.5621,9.59
8.51916,3088.95643,2784.05325,10.95
8.51986,3171.22452,2783.72025,13.92
