Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
9.02695,2983.68423,2559.00576,16.6
9.02805,3026.21648,2558.55185,18.28
9.02252,2944.19328,2560.83518,14.97
9.02231,2882.44824,2560.92196,12.56
9.02566,2958.60073,2559.53826,15.59
9.02444,2735.24576,2560.04202,6.84
9.0268,2851.2463,2559.06767,11.42
9.0251,2950.04512,2559.76947,15.25
9.02683,2802.41978,2559.05529,9.51
9.02572,2841.61506,2559.51348,11.02
9.02585,2881.45604,2559.45982,12.58
9.01849,2819.70469,2562.50133,10.04
9.02695,2864.46998,2559.00576,11.94
9.02003,2755.14244,2561.86442,7.54
9.02223,3083.8663,2560.95502,20.42
9.0162,2880.97476,2563.44891,12.39
9.02474,2822.77693,2559.91813,10.27
9.0199,2937.1288,2561.91818,14.65
9.01851,2912.0124,2562.49306,13.64
9.02081,2969.5422,2561.54193,15.93
9.01835,2778.67013,2562.55924,8.43
9.01658,2754.66211,2563.29163,7.47
9.01558,2792.39964,2563.70557,8.92
9.01698,2830.39221,2563.12609,10.43
9.01965,2786.87531,2562.02155,8.78
9.01916,2788.44673,2562.2242,8.83
9.02599,2836.28109,2559.40202,10.82
9.02363,2848.07763,2560.37659,11.24
9.01791,2685.53501,2562.74127,4.79
9.02015,3028.04951,2561.8148,18.2
9.01927,2913.74936,2562.17871,13.72
9.02533,2984.33538,2559.6745,16.59
