Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
8.514,2060.0,2090,-1.44
8.502,2210.0,2090,5.74
8.503,2270.0,2090,8.61
8.509,2320.0,2090,11.0
8.516,2350.0,2090,12.44
8.507,2240.0,2090,7.18
8.509,2070.0,2090,-0.96
8.513,2130.0,2090,1.91
8.505,2130.0,2090,1.91
8.502,2020.0,2090,-3.35
8.504,2260.0,2090,8.13
8.508,2060.0,2090,-1.44
8.502,2210.0,2090,5.74
8.511,2160.0,2090,3.35
8.506,2370.0,2090,13.4
8.509,2110.0,2090,0.96
8.51,2180.0,2090,4.31
8.506,2140.0,2090,2.39
8.516,2240.0,2090,7.18
8.507,2130.0,2090,1.91
8.51,2140.0,2090,2.39
8.509,2260.0,2090,8.13
8.51,2230.0,2090,6.7
8.512,2180.0,2090,4.31
8.513,2100.0,2090,0.48
8.5,2120.0,2090,1.44
8.506,2240.0,2090,7.18
8.503,2090.0,2090,0.0
8.507,2120.0,2090,1.44
8.509,2250.0,2090,7.66
8.506,2130.0,2090,1.91
8.51,2180.0,2090,4.31
8.503,2010.0,2090,-3.83
8.508,2180.0,2090,4.31
8.505,2130.0,2090,1.91
8.508,2190.0,2090,4.78
8.512,2230.0,2090,6.7
8.502,2300.0,2090,10.05
8.504,2200.0,2090,5.26
8.515,2100.0,2090,0.48
8.514,2110.0,2090,0.96
8.52,2150.0,2090,2.87
8.516,2030.0,2090,-2.87
8.514,2040.0,2090,-2.39
8.511,2220.0,2090,6.22
8.502,2160.0,2090,3.35
8.508,2190.0,2090,4.78
8.511,2100.0,2090,0.48
8.514,2200.0,2090,5.26
8.51,2070.0,2090,-0.96
