Load (lbf),Resistance (Ohms)
5.6464,3325.8592
5.6501,3216.72011
5.6608,3156.06517
5.6686,3369.53802
5.6749,3242.14538
5.6821,3267.73226
5.6876,3402.07267
5.6961,3221.43812
5.7022,3232.33311
5.7081,3321.01607
5.7096,3166.2231
5.7146,3140.60934
5.7211,3275.46404
5.7239,3129.11951
5.729,3172.59749
5.7346,3126.01685
5.7403,3125.5574
5.7457,3259.49496
5.7489,3154.95833
5.7539,3241.23377
5.7556,3178.9309
5.7599,3214.8413
5.7678,3282.08442
5.7739,3187.2987
5.782,3184.69105
5.794,3192.10029
5.7984,3227.2716
5.8036,2976.14074
5.8065,3143.86466
5.8125,3089.1209
5.8185,3151.70138
5.8245,3028.79779
5.8301,3171.81536
5.8327,3169.5497
5.8379,3210.9271
5.843,2953.04746
5.8475,3152.68892
5.8534,3183.48483
5.8597,3098.01762
5.8667,2964.13057
5.8733,3017.88591
5.8786,3241.20536
5.8813,2993.77322
5.8899,3098.44909
5.8956,3206.77948
5.9022,3129.62238
5.9051,3262.61496
5.9112,3014.34092
5.9158,2984.57437
5.9208,2891.29803
5.928,3080.7705
5.9346,3033.84275
5.9416,3083.71125
5.9484,3078.31433
5.9541,3123.29567
5.962,3004.70326
5.9672,3069.17828
5.9735,3051.88902
5.9767,2995.32387
5.981,3019.47671
5.9847,3162.17765
5.9882,3087.2916
5.9926,3070.32628
5.9984,3119.65682
6.0043,3089.16996
6.0097,2929.70823
6.0186,3069.82075
6.0225,3255.09227
6.0258,3100.63231
6.0304,3029.06755
6.0343,3070.39824
6.039,3063.37362
6.0464,3097.86564
6.0501,2998.4949
6.0556,3133.8993
6.0618,3013.55834
6.0641,3026.03579
6.0669,2980.19254
6.075,2975.94433
6.0823,3010.45275
6.0881,2937.84044
6.0925,3077.3691
6.1008,2950.95971
6.1078,2867.09098
6.1152,2915.55636
6.12,2940.8876
6.1288,3010.4447
6.1324,3044.22632
6.1397,3026.97054
6.1451,2950.70758
6.152,3016.50259
6.1554,3102.50816
6.1632,2890.41146
6.1672,3012.01542
6.1726,2981.42701
6.1795,3014.3146
6.1868,3016.28393
6.1926,2969.15874
6.1984,3039.67284
6.2046,2857.78617
6.2105,3078.58487
6.2174,3010.0892
6.2248,2889.07497
6.2323,2962.63702
6.2444,3018.70355
6.2563,2903.55506
6.2628,2898.5908
6.2676,2870.3837
6.272,3019.96664
6.2747,2924.22114
6.2802,2831.34319
6.2842,2931.44627
6.2877,2770.5774
6.2935,2924.46597
6.2961,2935.88396
6.2988,2870.04491
6.3026,2857.23925
6.3084,2925.99559
6.313,2880.00518
6.3184,2928.26733
6.3216,2924.88065
6.3274,2948.70142
6.334,2961.99378
6.3394,3019.41069
6.3477,3067.52832
6.3529,2847.31483
6.361,2985.022
6.3688,2929.74114
6.3752,2979.42245
6.3803,2915.51781
6.3889,2909.89878
6.3937,2937.88139
6.3998,2869.84994
6.4051,2983.63508
6.4102,2913.14244
6.4151,2944.91678
6.4175,2863.6671
6.4221,2974.22769
6.4266,2931.17359
6.4318,2834.91174
6.4384,2903.11027
6.4433,2867.89216
6.4497,2973.57977
6.4568,2904.1348
6.4574,3065.4508
6.4587,2807.39663
6.4619,2877.96949
6.4662,2915.08447
6.4708,2848.36449
6.4802,2845.64247
6.4856,2869.26305
6.4928,2849.82942
6.4987,2902.91637
6.5077,2780.21441
6.5138,2839.03541
6.5214,2808.76155
6.5269,2781.10251
6.5352,2716.03659
6.5402,2791.09526
6.5488,2748.98752
6.5541,2896.00682
6.5601,2787.62609
6.5665,2845.91254
6.572,2793.74014
6.5775,2817.6786
6.5798,2960.8642
6.5854,2843.43734
6.5939,2776.76648
6.599,2895.74884
6.6058,2653.68348
6.6113,2744.96731
6.6173,2748.88107
6.6205,2874.28658
6.6244,2874.7635
6.6307,2894.73952
6.6342,2712.35522
6.6399,2878.55076
6.6486,2820.90481
6.6566,2713.40602
6.6613,2818.4919
6.6622,2873.9803
6.6645,2899.03318
6.6703,2826.13528
6.6751,2859.99066
6.6793,2797.69027
6.6866,2884.16654
6.6959,2849.33981
6.7052,2874.2873
6.7128,2917.01971
6.7184,2680.48343
6.7269,2805.55104
6.7324,2820.14195
6.7382,2771.95918
6.7456,2829.51293
6.7488,2797.77249
6.7544,2822.68702
6.7591,2822.27386
6.7641,2731.86782
6.7719,2763.7536
6.7768,2721.57493
6.7813,2953.52443
6.7862,2782.10244
6.7994,2812.80389
6.8116,2890.30836
6.8204,2733.90286
6.8289,2778.53268
6.833,2700.82811
6.8367,2818.48562
6.8417,2809.4082
6.8459,2591.84695
6.8494,2754.03229
6.8527,2799.45547
6.8556,2639.41373
6.8578,2776.3231
6.862,2778.46553
6.8678,2607.68306
6.8696,2880.06425
6.8722,2709.18975
6.8775,2779.10712
6.8818,2794.91723
6.885,2727.59576
6.8908,2747.39581
6.8976,2670.94346
6.9014,2774.29499
6.9098,2726.45588
6.9154,2778.11202
6.9258,2671.24089
6.9329,2724.47941
6.9398,2687.75414
6.9456,2637.7249
6.9513,2684.17881
6.9561,2783.48076
6.9606,2795.71075
6.9663,2731.07812
6.9705,2697.82122
6.9779,2619.4318
6.9843,2658.93149
6.9892,2744.07221
6.9972,2587.77565
7.0013,2668.23274
7.008,2671.51404
7.0119,2690.60644
7.0136,2695.67714
7.0197,2609.51203
7.024,2579.06788
7.0256,2696.41529
7.0292,2481.47955
7.0385,2724.18015
7.0429,2725.15124
7.0524,2611.45261
7.0626,2691.46558
7.0729,2532.10146
7.0804,2585.8161
7.0867,2558.26736
7.093,2680.2325
7.0988,2628.20055
7.1022,2516.39929
7.1048,2607.58131
7.1099,2576.52656
7.1138,2551.89594
7.1167,2663.19262
7.1239,2615.59405
7.1303,2658.85192
7.1363,2562.78769
7.1412,2584.90839
7.1456,2588.70651
7.1512,2669.64751
7.1552,2621.62795
7.1584,2604.72084
7.1626,2546.98402
7.1695,2476.94498
7.1748,2630.41128
7.1837,2642.67827
