Load (lbf),Resistance (Ohms)
4,5093
4.25,4588
4.5,4360
4.75,4082
5,4020
5.25,3789
5.5,3547
5.75,3349
6,3132
6.25,2967
6.5,2781
6.75,2779
7,2577
7.25,2458
7.5,2376
7.75,2257
8,2270
8.25,2143
8.5,2166
8.75,2065
9,1987
