Load (lbf),Resistance (Ohms)
5.62358,3859.32408
5.62352,3767.43407
5.62415,3775.98533
5.6246,3684.92723
5.62823,3831.47194
5.63069,3746.90744
5.63369,3628.88787
5.63671,3690.48663
5.64594,3711.33388
5.65225,3779.98126
5.6539,3714.94248
5.65667,3656.60806
5.65993,3616.7105
5.67588,3885.74684
5.68315,3670.90074
5.6826,3678.18817
5.68636,3845.81042
5.69197,3583.96558
5.70092,3830.25168
5.70562,3610.77757
5.71959,3742.9973
5.73198,3615.45043
5.73696,3670.2211
5.74377,3721.23904
5.7508,3774.53097
5.75032,3741.33722
5.76056,3603.41049
5.76873,3595.24089
5.77339,3687.86264
5.77893,3599.8373
5.78558,3710.11727
5.79284,3622.19843
5.79608,3660.04235
5.80095,3614.36128
5.80516,3522.06075
5.80787,3567.16464
5.81662,3745.60038
5.82092,3602.62778
5.82319,3578.77081
5.82747,3597.66424
5.83335,3663.44691
5.84178,3646.67173
5.85171,3601.09474
5.85574,3589.78822
5.86213,3601.05042
5.86326,3483.67178
5.86687,3458.88829
5.87407,3587.21606
5.8828,3630.6047
5.8923,3542.30739
5.90405,3621.9851
5.90524,3531.75293
5.90872,3546.88003
5.91094,3596.60203
5.90807,3494.35844
5.90714,3570.71723
5.90698,3565.47523
5.91275,3495.61509
5.9234,3450.3264
5.96095,3458.1914
5.97199,3531.90493
5.96862,3460.19293
5.96896,3609.43671
5.97177,3762.6827
5.97627,3514.78165
5.98203,3565.99619
5.99034,3503.50909
5.99295,3533.36305
5.9986,3640.54285
5.99594,3529.3532
5.99217,3694.3171
5.99269,3561.22761
5.9999,3514.42116
6.01542,3605.44012
6.01824,3497.48377
6.03302,3644.91536
6.03366,3464.56274
6.04235,3531.26306
6.04778,3428.05061
6.05219,3396.90541
6.10687,3540.85089
6.11147,3368.65077
6.10968,3331.38194
6.11211,3364.90275
6.10845,3306.03623
6.10747,3471.58407
6.12654,3520.67874
6.13293,3318.59647
6.13511,3422.91642
6.13544,3498.92048
6.13597,3396.472
6.14033,3498.90329
6.14309,3525.79364
6.15309,3470.18359
6.158,3472.84752
6.15908,3383.68367
6.16359,3505.89123
6.16709,3453.32355
6.17179,3439.91551
6.17881,3442.83528
6.18594,3484.28559
6.19263,3367.92594
6.20204,3423.27507
6.20863,3468.79529
6.21396,3421.39134
6.21838,3477.13819
6.22381,3282.5336
6.2319,3496.94594
6.2388,3268.56338
6.24934,3408.95133
6.25165,3409.59627
6.25265,3246.14642
6.25587,3316.87019
6.26105,3386.37817
6.27151,3359.05576
6.27385,3379.77348
6.27784,3238.364
6.29124,3265.54966
6.29476,3348.63428
6.29974,3501.81616
6.30784,3203.76439
6.31911,3228.52519
6.32176,3179.52973
6.32408,3176.30779
6.32281,3275.77304
6.33007,3369.3856
6.33621,3375.46369
6.33893,3241.67185
6.34342,3292.87829
6.35401,3232.3804
6.36887,3415.36232
6.37563,3271.33725
6.37871,3308.90495
6.38285,3194.31747
6.38803,3247.23374
6.39716,3179.36048
6.39746,3088.14593
6.39896,3134.56501
6.40627,3198.79188
6.41797,3151.06557
6.42711,3208.01762
6.4331,3173.55699
6.44083,3250.07862
6.44635,3174.9495
6.45041,3220.03004
6.45558,3212.5485
6.46073,3466.8883
6.46693,3158.50986
6.47284,3257.03601
6.47516,3319.40292
6.48213,3115.54194
6.48934,3091.1416
6.4947,3024.23762
6.49947,3178.71721
6.5021,3169.76064
6.50718,3159.13882
6.51395,3309.96196
6.52195,3208.71304
6.52923,3104.59485
6.53549,3165.90428
6.54208,3056.95237
6.54852,3294.83045
6.5549,3175.73689
6.56117,3249.25136
6.56428,3155.22294
6.56774,3127.83191
6.57345,3015.21408
6.58208,3100.78146
6.59076,3299.32724
6.59535,3213.66857
6.59914,3227.97794
6.60284,3189.14338
6.60796,3238.89903
6.61313,3061.94384
6.6171,3068.92994
6.62258,3072.68811
6.62872,2947.1544
6.63335,3062.43507
6.63831,3121.96238
6.64485,3047.15418
6.65085,3092.22392
6.65586,3120.16173
6.66175,3108.32973
6.66635,3138.16895
6.66984,3008.4234
6.67643,3272.38047
6.68399,3078.86871
6.69158,3178.53932
6.69688,3159.05649
6.69875,2973.92473
6.70203,3120.0879
6.70952,3025.98299
6.71719,3018.02612
6.72378,3029.24798
6.72844,3073.81775
6.73252,2971.70878
6.73936,3059.7055
6.74625,3177.06254
6.75272,3212.87703
6.75455,3107.79562
6.75931,2972.42814
6.76559,3127.99717
6.77183,3031.02022
6.77928,3043.87365
6.78983,3109.37644
6.80146,2971.17231
6.80938,3083.4895
6.81509,3057.91211
6.81714,2832.73376
6.82121,3097.65558
6.82538,3117.47777
6.83129,2920.70671
6.83557,3118.02585
6.84071,2980.45737
6.8433,2966.73091
6.8475,3079.46099
6.85114,2883.32692
6.85362,3020.85688
6.86047,2990.14733
6.86883,2987.05609
6.87518,3094.10743
6.8823,3078.82373
6.88699,3044.22103
6.89185,3145.74012
6.89866,2877.64745
6.90432,2990.06779
6.90242,3064.48203
6.90494,3092.92208
6.91267,3053.11033
6.91825,3281.96321
6.92682,2997.16588
6.93502,2985.37418
6.94288,3022.33466
6.95277,2928.55272
6.95957,3042.34895
6.96546,3016.09537
6.96874,2941.35205
6.97689,2963.53959
6.98039,2965.55
6.98341,2939.51369
6.987,2933.04805
6.9914,2987.06521
6.99841,2901.44981
7.01041,3017.39688
7.01958,2959.1833
7.0251,2994.72985
7.03404,3005.88993
7.04122,3062.34231
7.04303,2966.1254
7.04805,2909.80867
7.04771,2911.59049
7.05353,2832.58298
7.05545,2814.17133
7.05823,3009.83807
7.05976,2940.59087
7.06908,2873.85428
7.07681,2922.93201
7.08476,2932.6857
7.09661,2897.84677
7.10085,2955.46683
7.10618,2827.70118
7.11208,2815.60395
7.11692,2799.87161
7.11957,2897.43114
7.11905,2911.02454
