Load (lbf),Resistance (Ohms)
4.0024,5904.46547
4.0129,5829.84748
4.0193,5818.40288
4.0247,5870.57115
4.026,5872.06367
4.0301,5927.3459
4.0363,5874.65175
4.0423,5753.90377
4.048,5794.09658
4.0549,5678.99773
4.0606,5621.09629
4.0627,5779.71853
4.0689,5899.20185
4.0749,5839.33724
4.077,5824.22778
4.0804,5756.49558
4.084,5637.55424
4.0876,5644.26441
4.0898,5734.53416
4.0908,5699.90593
4.093,5689.01854
4.0954,5696.78001
4.1001,5724.93033
4.1055,5840.89407
4.1075,5674.86886
4.1119,5585.99447
4.1221,5650.04085
4.1264,5595.88531
4.1323,5599.75139
4.1378,5662.74822
4.1418,5645.72452
4.147,5628.53704
4.1541,5643.75153
4.159,5666.37784
4.1639,5605.30624
4.1722,5601.5505
4.1838,5625.43377
4.2003,5654.56854
4.2135,5586.95073
4.2211,5437.06047
4.2334,5436.6679
4.2381,5532.45202
4.2487,5507.55695
4.2504,5443.81761
4.2515,5410.41708
4.2536,5573.46642
4.2592,5590.73261
4.2614,5478.14191
4.2625,5533.30518
4.2648,5484.78673
4.2687,5410.58526
4.2764,5634.49981
4.2818,5338.91936
4.2983,5591.41557
4.3043,5346.90786
4.3126,5463.22766
4.315,5518.06664
4.3175,5380.23739
4.3253,5500.08428
4.3307,5503.45467
4.3333,5465.8736
4.3369,5264.87631
4.342,5406.31251
4.3452,5302.79178
4.3469,5308.46322
4.3547,5241.36509
4.3849,5222.11558
4.3967,5386.08789
4.4013,5324.4464
4.4023,5372.6245
4.4035,5199.00054
4.4061,5283.21429
4.4079,5338.19466
4.4094,5281.98229
4.4128,5312.25571
4.4162,5326.56597
4.4175,5337.00535
4.4191,5273.72807
4.4223,5256.75067
4.4278,5247.33549
4.43,5202.59619
4.4319,5339.23263
4.4346,5260.55459
4.4422,5254.04023
4.4491,5173.37037
4.4532,5314.71316
4.4585,5386.04528
4.4625,5183.0763
4.4663,5220.91598
4.4789,5182.13442
4.4854,5306.9056
4.4903,5294.92295
4.4957,5241.64941
4.5027,5226.54002
4.5077,5058.22328
4.5178,5132.406
4.5275,5214.36251
4.5397,5204.15163
4.5546,5122.43183
4.5616,5222.46128
4.5647,5067.11637
4.5707,5114.36463
4.5735,5045.06296
4.5789,4996.23644
4.5847,5066.69547
4.5859,5163.08922
4.5884,4976.76742
4.5934,4973.16695
4.6036,5087.58085
4.6113,4933.29675
4.6148,5097.31055
4.6261,4945.72676
4.6475,4893.57259
4.6598,5089.97323
4.6662,4943.72756
4.6731,5039.76572
4.6801,4977.1373
4.6854,4985.29655
4.6902,4900.61232
4.6911,4891.93839
4.6921,4885.0191
4.694,4810.52921
4.6991,4953.48314
4.7041,4906.91838
4.7048,4926.47339
4.7092,4966.32182
4.717,4720.7611
4.722,4881.49343
4.7264,5038.14313
4.7404,4679.43792
4.7443,4780.07443
4.7596,4909.94923
4.7719,4927.36638
4.7753,4935.86411
4.7758,4883.30975
4.7784,4934.34399
4.7957,4866.23155
4.8097,4820.22925
4.8166,4824.72091
4.8233,4755.65944
4.8287,4696.81471
4.8391,4773.57155
4.851,4720.44167
4.8616,4715.52455
4.8644,4701.08948
4.8658,4796.15968
4.8691,4706.56276
4.8794,4674.0821
4.8823,4710.13818
4.8871,4655.75698
4.9003,4770.67436
4.9107,4779.86928
4.9116,4660.05952
4.9114,4855.26243
4.9123,4746.23603
4.9137,4741.38647
4.9145,4639.00546
4.9148,4754.14176
4.9151,4790.38056
4.9153,4716.36817
4.916,4634.04007
4.9208,4730.74352
4.9221,4639.96347
4.9291,4703.08579
4.9359,4831.05713
4.9386,4684.90508
4.9409,4701.56569
4.9415,4680.4373
4.9417,4728.8651
4.9451,4649.46138
4.9533,4665.90336
4.9582,4627.81489
4.9639,4668.68111
4.9689,4504.47607
4.9736,4813.98314
4.9777,4625.34052
4.9878,4684.66942
4.9914,4665.91184
4.9943,4724.52622
4.9989,4597.87329
5.0092,4655.29496
5.0157,4552.45838
5.0237,4689.07199
5.028,4623.80325
5.0311,4614.9415
5.0363,4544.23819
5.0425,4417.04728
5.0463,4618.1306
5.0478,4581.58135
5.0572,4585.21559
5.0636,4506.4649
5.0673,4616.72318
5.0747,4539.5679
5.0875,4643.21453
5.0946,4497.44174
5.0966,4547.45026
5.0986,4543.73029
5.1049,4379.59436
5.1145,4519.62204
5.1224,4613.62755
5.1284,4506.12132
5.1314,4509.91634
5.1359,4414.81488
5.1448,4570.4418
5.1514,4479.91434
5.16,4538.94534
5.1678,4509.92652
5.1711,4570.04575
5.1824,4531.30066
5.1941,4497.26557
5.2057,4629.47839
5.2107,4401.38596
5.2201,4407.40578
5.2213,4499.48365
5.2297,4271.47703
5.2355,4347.68519
5.2372,4356.19851
5.2386,4366.44605
5.2405,4301.48957
5.2434,4530.28559
5.2486,4443.59755
5.2494,4433.65007
5.2517,4370.81716
5.2569,4315.66218
5.2621,4560.63302
5.2665,4350.67202
5.2703,4188.02055
5.2841,4334.26533
5.2964,4317.01247
5.3322,4392.80382
5.3402,4342.2765
5.3423,4281.16548
5.3428,4298.39024
5.3444,4271.07673
5.3477,4433.09959
5.3536,4327.51608
5.354,4257.88265
5.3549,4228.5875
5.3575,4396.15005
5.3656,4387.7075
5.3745,4267.30944
5.3792,4247.49282
5.3814,4278.99371
5.3897,4175.64398
5.3918,4210.77817
5.3944,4262.49936
5.401,4407.17171
5.4043,4093.60058
5.4051,4141.03366
5.407,4184.1836
5.4112,4275.86162
5.4224,4229.10487
5.4262,4201.38703
5.4327,4274.88228
5.44,4236.75574
5.4415,4250.0959
5.4458,4232.92381
5.4561,4220.17848
5.4613,4203.56197
5.4692,4238.60398
5.4764,4153.76893
5.4816,4149.43505
5.4891,4188.25149
5.4947,4217.36382
5.4978,4154.08067
5.5008,4189.26897
5.5045,4165.24452
5.5079,4238.50269
5.5094,4193.10975
5.5139,4348.34124
5.5219,4233.69987
5.5242,4109.73023
5.526,4114.61482
5.5288,4156.31858
5.5307,4171.47166
5.5415,4155.28961
5.5598,4157.81468
5.5625,4067.4709
5.5704,4167.15472
5.5801,4164.80409
5.5823,4067.74916
5.5844,4161.37344
5.5881,4123.97329
5.5932,4028.52316
5.5997,4155.48399
5.6091,4219.868
5.6126,4049.66987
5.6222,4153.55945
5.6318,4075.38944
5.6361,4036.08775
5.6463,4023.83477
5.6488,4041.85709
5.6587,3944.14769
5.6656,4124.89581
5.6678,4048.74409
5.6739,4125.43343
5.6816,3963.41063
5.6847,4069.55663
5.6913,4037.16009
5.7005,4110.53587
5.7,4058.38037
5.6998,4094.10364
5.7007,4043.37338
5.709,3889.07505
5.7137,4103.38286
5.7186,3987.60751
5.7318,4063.13649
5.738,4034.9812
5.7436,4059.45602
5.7478,4022.20508
5.7488,4092.99733
5.7498,3873.26017
5.7531,3960.97888
5.7677,3804.26888
5.7798,4073.5843
5.7857,3949.4379
5.7855,3940.23782
5.787,4011.28477
5.7931,4070.17102
5.8033,3995.36048
5.8082,3910.31275
5.8129,3984.98894
5.82,3850.71658
5.8238,4031.16934
5.8281,3990.35087
5.8324,3998.72043
5.8359,3844.02807
5.8412,3748.3963
5.8468,3898.13499
5.8534,3870.19999
5.8559,3973.67957
5.8597,3891.25642
5.8696,3837.19519
5.8729,3773.72128
5.8827,3914.35552
5.8945,3897.54802
5.9013,3904.54261
5.9096,4010.93754
5.914,3787.01842
5.9191,3757.69819
5.9253,3897.13965
5.9305,3826.43452
5.931,3746.94303
5.9367,3802.34337
5.9448,3771.73872
5.9626,3885.88621
5.9709,3822.124
5.9766,3945.39256
5.9777,3880.533
5.9791,3896.46923
5.9806,3867.56074
5.9952,3978.22311
5.998,3783.61298
6.0016,3863.99182
6.0056,3941.80626
6.0103,3856.26401
6.012,3923.38902
6.0176,3890.94899
6.0251,3933.42731
6.0279,3729.92509
6.0333,3755.2975
6.0444,3858.88218
6.0466,3806.03899
6.0489,3822.60909
6.0527,3878.09381
6.058,3650.29184
6.0687,3814.24163
6.0792,3821.59934
6.0803,3812.52545
6.084,3677.30407
6.0879,3790.95052
6.0939,3771.99941
6.095,3736.69048
6.0974,3899.71556
6.0999,3787.53488
6.1064,3844.94443
6.111,3726.61918
6.1128,3738.43935
6.1187,3880.98473
6.1474,3794.82944
6.1508,3879.9148
6.1567,3691.88379
6.1652,3806.9417
6.1691,3749.55311
6.1739,3692.60614
6.1796,3674.62419
6.183,3747.2607
6.188,3616.23873
6.196,3642.61424
6.2015,3641.45886
6.2049,3653.17498
6.2093,3692.23144
6.215,3729.95939
6.2179,3758.11771
6.2215,3712.88243
6.2263,3663.66686
6.2313,3850.51163
6.2333,3830.75749
6.2395,3782.99148
6.245,3703.04671
6.249,3673.64223
6.2519,3670.55206
6.2657,3630.59976
6.2789,3728.83753
6.2856,3548.05185
6.2908,3650.63018
6.2987,3547.18762
6.3098,3634.83324
6.313,3612.92643
6.3181,3703.18822
6.3217,3649.01037
6.3291,3646.53345
6.3367,3591.14864
6.3379,3612.45383
6.3421,3516.41513
6.3502,3676.31477
6.3532,3581.88512
6.3543,3524.52289
6.356,3720.51865
6.3609,3532.37144
6.3676,3646.31522
6.3712,3673.85502
6.3747,3609.02815
6.3792,3598.38553
6.3851,3592.42679
6.3882,3468.23665
6.3954,3636.83534
6.4028,3583.40575
6.4051,3540.11753
6.4088,3523.46458
